map_size,p_frozen,gamma,n_iters,theta,n_i,mean_reward,stdev_reward
10,0.6,0.4,1000,1e-10,22,0.0,0.0
10,0.6,0.4,1000,0.001,6,0.0,0.0
10,0.6,0.5,1000,1e-10,27,0.03,0.1705872210923198
10,0.6,0.5,1000,0.001,7,0.0,0.0
10,0.6,0.6,1000,1e-10,37,0.01,0.09949874371066199
10,0.6,0.6,1000,0.001,9,0.0,0.0
10,0.6,0.7,1000,1e-10,45,0.0,0.0
10,0.6,0.7,1000,0.001,8,0.0,0.0
10,0.6,0.8,1000,1e-10,65,0.01,0.09949874371066199
10,0.6,0.8,1000,0.001,15,0.0,0.0
10,0.6,0.9,1000,1e-10,124,0.0,0.0
10,0.6,0.9,1000,0.001,25,0.0,0.0
10,0.6,1.0,1000,1e-10,882,0.02,0.13999999999999999
10,0.6,1.0,1000,0.001,47,0.0,0.0
10,0.7,0.1,1000,1e-10,10,0.0,0.0
10,0.7,0.1,1000,0.001,4,0.0,0.0
10,0.7,0.2,1000,1e-10,13,0.0,0.0
10,0.7,0.2,1000,0.001,4,0.0,0.0
10,0.7,0.3,1000,1e-10,17,0.03,0.1705872210923198
10,0.7,0.3,1000,0.001,5,0.0,0.0
10,0.7,0.4,1000,1e-10,21,0.02,0.13999999999999999
10,0.7,0.4,1000,0.001,6,0.0,0.0
10,0.7,0.5,1000,1e-10,27,0.0,0.0
10,0.7,0.5,1000,0.001,6,0.0,0.0
10,0.7,0.6,1000,1e-10,37,0.04,0.19595917942265423
10,0.7,0.6,1000,0.001,7,0.0,0.0
10,0.7,0.7,1000,1e-10,46,0.0,0.0
10,0.7,0.7,1000,0.001,12,0.0,0.0
10,0.7,0.8,1000,1e-10,76,0.05,0.21794494717703367
10,0.7,0.8,1000,0.001,16,0.0,0.0
10,0.7,0.9,1000,1e-10,126,0.0,0.0
10,0.7,0.9,1000,0.001,23,0.02,0.13999999999999999
10,0.7,1.0,1000,1e-10,999,0.03,0.17058722109231983
10,0.7,1.0,1000,0.001,257,0.0,0.0
10,0.8,0.1,1000,1e-10,10,0.0,0.0
10,0.8,0.1,1000,0.001,4,0.0,0.0
10,0.8,0.2,1000,1e-10,14,0.0,0.0
10,0.8,0.2,1000,0.001,4,0.0,0.0
10,0.8,0.3,1000,1e-10,18,0.35,0.47696960070847283
10,0.8,0.3,1000,0.001,5,0.0,0.0
10,0.8,0.4,1000,1e-10,22,0.24,0.4270831300812525
10,0.8,0.4,1000,0.001,6,0.0,0.0
10,0.8,0.5,1000,1e-10,29,0.29,0.4537620521815371
10,0.8,0.5,1000,0.001,7,0.0,0.0
