map_size,p_frozen,gamma,is_slippery,move_cost,iter_type,n_i,runtime(s)
10,1,0.5,False,-0.01,value,18,0.00
10,1,0.5,False,-0.01,policy,19,0.00
10,1,0.5,True,0,value,16,0.02
10,1,0.5,True,0,policy,30,0.02
10,1,0.5,True,-0.01,value,5,0.00
10,1,0.5,True,-0.01,policy,30,0.02
10,1,0.6,False,0,value,5,0.00
10,1,0.6,False,0,policy,19,0.00
10,1,0.6,False,-0.01,value,18,0.00
10,1,0.6,False,-0.01,policy,19,0.00
10,1,0.6,True,0,value,18,0.03
10,1,0.6,True,0,policy,40,0.02
10,1,0.6,True,-0.01,value,5,0.02
10,1,0.6,True,-0.01,policy,40,0.02
10,1,0.7,False,0,value,5,0.01
10,1,0.7,False,0,policy,19,0.00
10,1,0.7,False,-0.01,value,17,0.00
10,1,0.7,False,-0.01,policy,19,0.00
10,1,0.7,True,0,value,18,0.02
10,1,0.7,True,0,policy,57,0.04
10,1,0.7,True,-0.01,value,4,0.02
10,1,0.7,True,-0.01,policy,56,0.04
10,1,0.8,False,0,value,5,0.02
10,1,0.8,False,0,policy,19,0.02
10,1,0.8,False,-0.01,value,12,0.00
10,1,0.8,False,-0.01,policy,19,0.03
10,1,0.8,True,0,value,16,0.04
10,1,0.8,True,0,policy,85,0.05
10,1,0.8,True,-0.01,value,5,0.05
10,1,0.8,True,-0.01,policy,85,0.04
10,1,0.9,False,0,value,5,0.00
10,1,0.9,False,0,policy,19,0.02
10,1,0.9,False,-0.01,value,17,0.00
10,1,0.9,False,-0.01,policy,19,0.02
10,1,0.9,True,0,value,18,0.08
10,1,0.9,True,0,policy,152,0.10
10,1,0.9,True,-0.01,value,6,0.08
10,1,0.9,True,-0.01,policy,151,0.08
12,0.6,0.1,False,0,value,5,0.02
12,0.6,0.1,False,0,policy,12,0.01
12,0.6,0.1,False,-0.01,value,17,0.00
12,0.6,0.1,False,-0.01,policy,12,0.00
12,0.6,0.1,True,0,value,17,0.00
12,0.6,0.1,True,0,policy,9,0.00
12,0.6,0.1,True,-0.01,value,10,0.00
12,0.6,0.1,True,-0.01,policy,9,0.02
12,0.6,0.2,False,0,value,6,0.00
12,0.6,0.2,False,0,policy,16,0.00
12,0.6,0.2,False,-0.01,value,16,0.01
12,0.6,0.2,False,-0.01,policy,16,0.00
12,0.6,0.2,True,0,value,16,0.02
12,0.6,0.2,True,0,policy,13,0.02
12,0.6,0.2,True,-0.01,value,7,0.00
12,0.6,0.2,True,-0.01,policy,12,0.00
12,0.6,0.3,False,0,value,8,0.01
12,0.6,0.3,False,0,policy,21,0.02
12,0.6,0.3,False,-0.01,value,16,0.00
12,0.6,0.3,False,-0.01,policy,21,0.01
12,0.6,0.3,True,0,value,15,0.01
12,0.6,0.3,True,0,policy,16,0.02
12,0.6,0.3,True,-0.01,value,7,0.00
12,0.6,0.3,True,-0.01,policy,15,0.02
12,0.6,0.4,False,0,value,9,0.02
12,0.6,0.4,False,0,policy,24,0.02
12,0.6,0.4,False,-0.01,value,17,0.00
12,0.6,0.4,False,-0.01,policy,24,0.02
12,0.6,0.4,True,0,value,15,0.03
12,0.6,0.4,True,0,policy,21,0.01
12,0.6,0.4,True,-0.01,value,5,0.00
12,0.6,0.4,True,-0.01,policy,18,0.02
12,0.6,0.5,False,0,value,9,0.02
12,0.6,0.5,False,0,policy,24,0.01
12,0.6,0.5,False,-0.01,value,16,0.02
12,0.6,0.5,False,-0.01,policy,28,0.02
12,0.6,0.5,True,0,value,16,0.02
12,0.6,0.5,True,0,policy,26,0.02
12,0.6,0.5,True,-0.01,value,5,0.03
12,0.6,0.5,True,-0.01,policy,21,0.00
12,0.6,0.6,False,0,value,5,0.00
12,0.6,0.6,False,0,policy,24,0.02
12,0.6,0.6,False,-0.01,value,16,0.02
12,0.6,0.6,False,-0.01,policy,38,0.02
12,0.6,0.6,True,0,value,16,0.03
12,0.6,0.6,True,0,policy,34,0.02
12,0.6,0.6,True,-0.01,value,6,0.03
12,0.6,0.6,True,-0.01,policy,27,0.02
12,0.6,0.7,False,0,value,10,0.02
12,0.6,0.7,False,0,policy,24,0.02
12,0.6,0.7,False,-0.01,value,16,0.02
12,0.6,0.7,False,-0.01,policy,53,0.02
12,0.6,0.7,True,0,value,15,0.03
12,0.6,0.7,True,0,policy,46,0.02
12,0.6,0.7,True,-0.01,value,5,0.02
12,0.6,0.7,True,-0.01,policy,35,0.04
12,0.6,0.8,False,0,value,13,0.00
12,0.6,0.8,False,0,policy,24,0.04
12,0.6,0.8,False,-0.01,value,16,0.04
12,0.6,0.8,False,-0.01,policy,84,0.03
12,0.6,0.8,True,0,value,16,0.04
12,0.6,0.8,True,0,policy,69,0.04
12,0.6,0.8,True,-0.01,value,6,0.03
12,0.6,0.8,True,-0.01,policy,52,0.04
12,0.6,0.9,False,0,value,13,0.02
12,0.6,0.9,False,0,policy,24,0.04
12,0.6,0.9,False,-0.01,value,13,0.06
12,0.6,0.9,False,-0.01,policy,176,0.05
12,0.6,0.9,True,0,value,16,0.08
12,0.6,0.9,True,0,policy,123,0.06
12,0.6,0.9,True,-0.01,value,6,0.04
12,0.6,0.9,True,-0.01,policy,80,0.05
12,0.7,0.1,False,0,value,18,0.00
12,0.7,0.1,False,0,policy,12,0.00
12,0.7,0.1,False,-0.01,value,21,0.00
12,0.7,0.1,False,-0.01,policy,12,0.02
12,0.7,0.1,True,0,value,18,0.02
12,0.7,0.1,True,0,policy,10,0.02
12,0.7,0.1,True,-0.01,value,17,0.02
12,0.7,0.1,True,-0.01,policy,10,0.02
12,0.7,0.2,False,0,value,6,0.00
12,0.7,0.2,False,0,policy,16,0.02
12,0.7,0.2,False,-0.01,value,20,0.02
12,0.7,0.2,False,-0.01,policy,16,0.01
12,0.7,0.2,True,0,value,20,0.00
12,0.7,0.2,True,0,policy,13,0.01
12,0.7,0.2,True,-0.01,value,11,0.02
12,0.7,0.2,True,-0.01,policy,13,0.02
12,0.7,0.3,False,0,value,11,0.00
12,0.7,0.3,False,0,policy,21,0.02
12,0.7,0.3,False,-0.01,value,20,0.02
12,0.7,0.3,False,-0.01,policy,21,0.00
12,0.7,0.3,True,0,value,20,0.02
12,0.7,0.3,True,0,policy,17,0.03
12,0.7,0.3,True,-0.01,value,6,0.01
12,0.7,0.3,True,-0.01,policy,17,0.02
12,0.7,0.4,False,0,value,14,0.02
12,0.7,0.4,False,0,policy,23,0.02
12,0.7,0.4,False,-0.01,value,17,0.00
12,0.7,0.4,False,-0.01,policy,23,0.00
12,0.7,0.4,True,0,value,20,0.02
12,0.7,0.4,True,0,policy,21,0.02
12,0.7,0.4,True,-0.01,value,7,0.03
12,0.7,0.4,True,-0.01,policy,21,0.01
12,0.7,0.5,False,0,value,8,0.02
12,0.7,0.5,False,0,policy,23,0.02
12,0.7,0.5,False,-0.01,value,18,0.00
12,0.7,0.5,False,-0.01,policy,23,0.02
12,0.7,0.5,True,0,value,20,0.02
12,0.7,0.5,True,0,policy,25,0.02
12,0.7,0.5,True,-0.01,value,6,0.03
12,0.7,0.5,True,-0.01,policy,25,0.01
12,0.7,0.6,False,0,value,7,0.01
12,0.7,0.6,False,0,policy,23,0.02
12,0.7,0.6,False,-0.01,value,20,0.02
12,0.7,0.6,False,-0.01,policy,23,0.02
12,0.7,0.6,True,0,value,20,0.02
12,0.7,0.6,True,0,policy,31,0.03
12,0.7,0.6,True,-0.01,value,5,0.02
12,0.7,0.6,True,-0.01,policy,31,0.04
12,0.7,0.7,False,0,value,17,0.00
12,0.7,0.7,False,0,policy,23,0.02
12,0.7,0.7,False,-0.01,value,20,0.00
12,0.7,0.7,False,-0.01,policy,23,0.02
12,0.7,0.7,True,0,value,20,0.04
12,0.7,0.7,True,0,policy,42,0.03
12,0.7,0.7,True,-0.01,value,7,0.03
12,0.7,0.7,True,-0.01,policy,39,0.04
12,0.7,0.8,False,0,value,6,0.02
12,0.7,0.8,False,0,policy,23,0.03
12,0.7,0.8,False,-0.01,value,20,0.00
12,0.7,0.8,False,-0.01,policy,23,0.02
12,0.7,0.8,True,0,value,20,0.04
12,0.7,0.8,True,0,policy,61,0.04
12,0.7,0.8,True,-0.01,value,6,0.04
12,0.7,0.8,True,-0.01,policy,50,0.06
12,0.7,0.9,False,0,value,21,0.00
12,0.7,0.9,False,0,policy,23,0.04
12,0.7,0.9,False,-0.01,value,19,0.00
12,0.7,0.9,False,-0.01,policy,23,0.02
12,0.7,0.9,True,0,value,20,0.08
12,0.7,0.9,True,0,policy,112,0.08
12,0.7,0.9,True,-0.01,value,5,0.06
12,0.7,0.9,True,-0.01,policy,68,0.08
12,0.8,0.1,False,0,value,19,0.01
12,0.8,0.1,False,0,policy,12,0.02
12,0.8,0.1,False,-0.01,value,20,0.00
12,0.8,0.1,False,-0.01,policy,12,0.00
