map_size,p_frozen,gamma,is_slippery,move_cost,iter_type,n_i,mean_reward,stdev_reward
10,0.9,0.7,True,-0.01,value,51,-0.010900000000000005,0.2734340688356153
10,0.9,0.7,True,-0.01,policy,5,-0.010900000000000005,0.2734340688356153
10,0.9,0.8,False,0.0,value,19,2.0,0.0
10,0.9,0.8,False,0.0,policy,16,2.0,0.0
10,0.9,0.8,False,-0.01,value,19,1.83,0.0
10,0.9,0.8,False,-0.01,policy,16,1.83,0.0
10,0.9,0.8,True,0.0,value,86,1.24,0.9707728879609279
10,0.9,0.8,True,0.0,policy,5,1.24,0.9707728879609279
10,0.9,0.8,True,-0.01,value,79,-0.013500000000000005,0.2547523307057268
10,0.9,0.8,True,-0.01,policy,5,-0.013500000000000005,0.2547523307057268
10,0.9,0.9,False,0.0,value,19,2.0,0.0
10,0.9,0.9,False,0.0,policy,15,2.0,0.0
10,0.9,0.9,False,-0.01,value,19,1.83,0.0
10,0.9,0.9,False,-0.01,policy,16,1.83,0.0
10,0.9,0.9,True,0.0,value,164,1.26,0.9656086163658648
10,0.9,0.9,True,0.0,policy,5,1.26,0.9656086163658648
10,0.9,0.9,True,-0.01,value,155,0.4104,0.8211819773959971
10,0.9,0.9,True,-0.01,policy,6,0.4104,0.8211819773959971
10,1.0,0.1,False,0.0,value,12,2.0,0.0
10,1.0,0.1,False,0.0,policy,18,2.0,0.0
10,1.0,0.1,False,-0.01,value,12,1.83,0.0
10,1.0,0.1,False,-0.01,policy,16,1.83,0.0
10,1.0,0.1,True,0.0,value,11,0.54,0.8879189152169247
10,1.0,0.1,True,0.0,policy,4,1.58,0.8146164741766521
10,1.0,0.1,True,-0.01,value,10,-0.023600000000000114,0.7704057632183186
10,1.0,0.1,True,-0.01,policy,7,1.1603999999999999,1.0020957239705197
10,1.0,0.2,False,0.0,value,16,2.0,0.0
10,1.0,0.2,False,0.0,policy,15,2.0,0.0
10,1.0,0.2,False,-0.01,value,16,1.83,0.0
10,1.0,0.2,False,-0.01,policy,14,1.83,0.0
10,1.0,0.2,True,0.0,value,14,1.24,0.9707728879609279
10,1.0,0.2,True,0.0,policy,5,1.6,0.8
10,1.0,0.2,True,-0.01,value,14,0.9887999999999999,1.064740606908556
10,1.0,0.2,True,-0.01,policy,5,1.3653,0.9027296993009593
10,1.0,0.3,False,0.0,value,19,2.0,0.0
10,1.0,0.3,False,0.0,policy,14,2.0,0.0
10,1.0,0.3,False,-0.01,value,19,1.83,0.0
10,1.0,0.3,False,-0.01,policy,18,1.83,0.0
10,1.0,0.3,True,0.0,value,18,1.62,0.7846018098373213
10,1.0,0.3,True,0.0,policy,5,1.6,0.8
10,1.0,0.3,True,-0.01,value,18,1.4039,0.8638216193173218
10,1.0,0.3,True,-0.01,policy,4,1.3953000000000002,0.8827620913926922
10,1.0,0.4,False,0.0,value,19,2.0,0.0
10,1.0,0.4,False,0.0,policy,17,2.0,0.0
10,1.0,0.4,False,-0.01,value,19,1.83,0.0
10,1.0,0.4,False,-0.01,policy,16,1.83,0.0
10,1.0,0.4,True,0.0,value,24,1.6,0.8
10,1.0,0.4,True,0.0,policy,4,1.6,0.8
10,1.0,0.4,True,-0.01,value,24,1.3953000000000002,0.8827620913926922
10,1.0,0.4,True,-0.01,policy,4,1.3953000000000002,0.8827620913926922
10,1.0,0.5,False,0.0,value,19,2.0,0.0
10,1.0,0.5,False,0.0,policy,18,2.0,0.0
10,1.0,0.5,False,-0.01,value,19,1.83,0.0
10,1.0,0.5,False,-0.01,policy,16,1.83,0.0
10,1.0,0.5,True,0.0,value,30,1.66,0.751265598839718
10,1.0,0.5,True,0.0,policy,5,1.66,0.751265598839718
10,1.0,0.5,True,-0.01,value,30,1.4570999999999998,0.8336657543644216
10,1.0,0.5,True,-0.01,policy,5,1.4570999999999998,0.8336657543644216
10,1.0,0.6,False,0.0,value,19,2.0,0.0
10,1.0,0.6,False,0.0,policy,18,2.0,0.0
10,1.0,0.6,False,-0.01,value,19,1.83,0.0
10,1.0,0.6,False,-0.01,policy,18,1.83,0.0
10,1.0,0.6,True,0.0,value,40,1.66,0.751265598839718
10,1.0,0.6,True,0.0,policy,5,1.66,0.751265598839718
10,1.0,0.6,True,-0.01,value,40,1.4635,0.829513562276109
10,1.0,0.6,True,-0.01,policy,5,1.4635,0.829513562276109
10,1.0,0.7,False,0.0,value,19,2.0,0.0
10,1.0,0.7,False,0.0,policy,17,2.0,0.0
10,1.0,0.7,False,-0.01,value,19,1.83,0.0
10,1.0,0.7,False,-0.01,policy,18,1.83,0.0
